Intensidad_base,Rango_base,Intensidad_prueba,Rango_prueba,X_control,Y_control,X_prueba,Y_prueba
254.0,1.5991800725460052,254.0,1.600220067501068,-0.894133866949923,-1.325858790520855,-0.8947153491274105,-1.326721036416073
254.0,1.618840079307556,254.0,1.622200071811676,-0.8921357117333113,-1.3508282919092982,-0.8939873889572678,-1.3536320110617854
254.0,1.6372800862789154,254.0,1.6379200863838197,-0.8890755036102759,-1.3748566579122445,-0.8894230363386996,-1.375394078731484
254.0,1.6587800884246826,230.59,1.6579000902175904,-0.8872705473704255,-1.401535713966356,-0.8867998421236359,-1.4007921862835289
254.0,1.6735800731182098,168.18,1.672680081129074,-0.8815034892430889,-1.422610930504406,-0.8810294479399824,-1.4218459008164477
231.91,1.6932400703430175,141.47,1.6702400767803192,-0.8779315236404525,-1.4478598604884316,-0.8660062097136861,-1.428192969741996
209.88,1.731140090227127,142.54,1.6549800848960876,-0.8832598806516502,-1.4888579499814003,-0.8444016290295662,-1.4233569370663413
208.52,1.755740077495575,147.62,1.6435000824928283,-0.8812018456973422,-1.5185870165597246,-0.8248688542567397,-1.4215076132160203
209.81,1.7814200925827026,149.55,1.6355400812625884,-0.8791842803402875,-1.5493522993366924,-0.8071881165479712,-1.4224762570672922
208.61,1.805420093536377,151.06,1.6284000670909882,-0.8758389404033342,-1.5787488288572267,-0.7899636181184182,-1.4239537424197433
189.56,1.8287000918388367,152.27,1.6230600810050964,-0.871663951538697,-1.6075901161301391,-0.7736440601208779,-1.4268142467721414
140.65,1.88702008843422,150.31,1.618180079460144,-0.8834170969865699,-1.6674588591344954,-0.7575584154932591,-1.429899302984997
111.77,1.9334200966358184,150.35,1.6108800768852234,-0.8886151547460989,-1.7171128025935933,-0.7403732128829738,-1.4306579352700233
92.34,1.9810400879383088,152.25,1.6041800785064697,-0.8934856232744744,-1.7681072566505818,-0.7235148072043875,-1.431754185617427
100.03,2.0125400853157043,156.8,1.5953000783920288,-0.8903215965366901,-1.8048947475525827,-0.7057400362419578,-1.430703792321392
88.74,2.0229800868034364,157.48,1.5876800775527955,-0.8773956027215971,-1.8228070078667256,-0.6885997186332465,-1.430579762248951
88.53,2.02236008644104,159.39,1.580280073881149,-0.859505923662352,-1.8306255451126912,-0.6716212872538937,-1.4304579540878624
88.82,2.0127200841903687,159.51,1.5744600701332092,-0.8377925093534034,-1.830067170508944,-0.6553672631354711,-1.4315789404899026
91.75,1.987060089111328,157.45,1.5699800729751587,-0.8096427721747079,-1.814631196470614,-0.6397003419816769,-1.4337436667715784
89.05,1.9952800798416137,157.38,1.5635800683498382,-0.7953753444104562,-1.8298963518507556,-0.6232874511912119,-1.433978864324174
91.08,1.9905600881576533,155.72,1.5588600790500642,-0.7758449157015086,-1.8331377829684061,-0.6075846058686053,-1.4355785219790187
92.39,1.972720092535019,157.95,1.5536800718307495,-0.7513292659435991,-1.8240419122454468,-0.5917338766392036,-1.4365837200948446
122.34,1.7839000844955444,156.36,1.5487200736999511,-0.6634708180558415,-1.6559305495857979,-0.5760023126675154,-1.4376213696529612
113.71,1.810780093669892,159.07,1.5424800670146943,-0.6572205882225898,-1.6873012908332334,-0.5598413968150378,-1.4372968961038786
142.49,1.7389600849151612,160.87,1.5376400685310363,-0.6154917847341672,-1.6263923388447494,-0.5442360858473109,-1.4381043297388854
157.09,1.7212600815296173,158.25,1.5340600740909576,-0.5936679000229571,-1.615640644682374,-0.5291020412704379,-1.4399275470812447
161.08,1.7343600761890412,157.86,1.5293200671672822,-0.5824529347478035,-1.6336319820210816,-0.5135940186351482,-1.4405002783278937
102.38,1.8861000895500184,161.36,1.522060066461563,-0.6162433744855622,-1.7825873474259921,-0.49730098456745686,-1.4385265297050367
94.06,1.9219400870800016,162.73,1.5162600767612455,-0.6103999956295562,-1.8224339613990193,-0.481557750134908,-1.4377575434213599
97.98,1.9027400946617128,163.77,1.5118000781536105,-0.5868679295655944,-1.8099740056367262,-0.4662891081510808,-1.438093857828804
96.62,1.9153200900554657,161.35,1.509080070257187,-0.5731435355156428,-1.8275550703239305,-0.4515796035002962,-1.4399300400192891
102.47,1.861420093774796,160.07,1.5054000699520111,-0.5398535043517658,-1.7814159983978162,-0.43659972616225057,-1.4406977648787298
96.51,1.903160080909729,158.39,1.502760064601898,-0.5343619426916686,-1.826602202936127,-0.421939171368221,-1.4423089639281175
97.05,1.90128009557724,155.62,1.4998800706863404,-0.5162046916655321,-1.829863032617658,-0.40722307629736865,-1.4435406445864174
97.05,1.8996800911426543,158.65,1.4934400713443756,-0.49810771925391467,-1.8332138851490916,-0.391589105580561,-1.4411874337114206
97.75,1.8853600907325745,165.1,1.4854600739479065,-0.4767774932633388,-1.8240794647286254,-0.3756491578881707,-1.4371775608710387
97.12,1.8882400870323184,166.43,1.4795000731945038,-0.4598590728520872,-1.8313875229976413,-0.360315161518004,-1.4349541633664809
97.01,1.8823200941085816,167.14,1.4750000739097595,-0.44078326028794296,-1.8299833480485201,-0.3454010524234442,-1.4339886090965204
100.72,1.8204800879955287,168.56,1.4674000668525695,-0.4092077629577834,-1.7738931076937232,-0.329842387555033,-1.4298485778469414
95.68,1.8694200885295869,170.01,1.462780065536499,-0.40261543175870973,-1.8255498573053863,-0.31503771210528014,-1.4284525753704376
95.33,1.8695200848579407,168.19,1.4598800694942475,-0.3850054803901057,-1.8294469458710263,-0.30064497943614393,-1.4285875589708772
95.2,1.86590008020401,171.65,1.4540800619125367,-0.36662687144073197,-1.82952667278805,-0.2857092025340669,-1.4257345748907524
91.83,1.859920086860657,171.38,1.4543200719356535,-0.3478412607377801,-1.827104043790639,-0.27198616269165343,-1.4286603511469036
95.69,1.857940086126328,168.68,1.454040070772171,-0.32984675487448356,-1.8284262309248025,-0.25814093919552505,-1.4309422709957214
97.98,1.8537600910663603,160.01,1.4596600663661956,-0.3114894779151026,-1.8274027417016034,-0.24526838947341123,-1.43890615624136
99.15,1.851580092906952,139.82,1.46448007106781,-0.2934997404107988,-1.8281703265363733,-0.23213930757938353,-1.4459644602933166
100.91,1.8473800945281984,105.14,1.3965800666809085,-0.2752232761163427,-1.8267636305616561,-0.20806294408453307,-1.3809944583340397
99.2,1.8434200847148896,71.88,1.1799000549316403,-0.257034791790089,-1.8254124806573653,-0.16451777186716202,-1.1683741020613012
98.33,1.8391400790214536,31.55,0.5585800218582153,-0.2388564861351425,-1.8235634919832682,-0.072545024040438,-0.5538491313580771
98.75,1.8389400839805603,15.22,0.265260009765625,-0.2212286659992931,-1.8255844296582406,-0.031911381243255904,-0.2633335081754828
100.5,1.835800083875656,8.71,0.1503000068664551,-0.20325857054489263,-1.824513058724961,-0.016641117307320284,-0.14937591934050298
94.62,1.832440096139908,5.61,0.0946200048923492,-0.18530752358420916,-1.8230463043061533,-0.009568552240841311,-0.09413494640059279
93.7,1.810620092153549,3.43,0.0524200022220611,-0.16571420273504686,-1.8030207766750814,-0.004797659604708266,-0.05219999133408205
97.6,1.829340090751648,3.72,0.0609600031375885,-0.14984542793806324,-1.8231926709367023,-0.004993373186012868,-0.06075514963161566
100.04,1.822680094242096,3.79,0.0609800028800964,-0.1317679130270158,-1.8179108732396319,-0.004408457491402462,-0.06082044272942332
98.56,1.8197000908851624,3.14,0.0473400020599365,-0.11403691864902786,-1.816123344366374,-0.002966702035568827,-0.04724695200821894
101.01,1.819960091114044,4.76,0.0703200042247772,-0.09652453473447509,-1.8173986209530735,-0.0037295354571033885,-0.07022103359711314
98.89,1.8143000936508176,4.51,0.0682200026512146,-0.07874122739000246,-1.8125905905445059,-0.002960770800874857,-0.06815572314924413
101.75,1.8140000903606408,3.06,0.0452000021934509,-0.061240650278929123,-1.8129660533451328,-0.0015259522541620355,-0.04517423677281093
